COD_BASE,NOMBRE_MAT,COD_PRECO,NOMBRE_PRECORREQUISITO,TIPO_REQUISITO
11768,practica profesional,11756,seminario de investigacion,prerrequisito
11768,practica profesional,11757,evaluacion de proyectos de negocios internacionales,prerrequisito
11768,practica profesional,11757,evaluacion proyectos de negocios internacionales,prerrequisito
11768,practica profesional,11758,relaciones internacionales,prerrequisito
11768,practica profesional,11758,relaciones internacionales,prerrequisito
11768,practica profesional,11759,internacionalizacion de la empresa,prerrequisito
11768,practica profesional,11759,internacionalizacion de la empresa,prerrequisito
11768,practica profesional,11760,contratos internacionales,prerrequisito
11768,practica profesional,11760,estrategias de negociacion internacional,prerrequisito
11768,practica profesional,11761,electiva de profundizacion iii,prerrequisito
11768,practica profesional,11766,formacion integral ii,prerrequisito
11768,practica profesional,11766,formacion integral ii,prerrequisito
11768,practica profesional,11767,ingles iii,prerrequisito
11768,practica profesional,11767,ingles iii,prerrequisito
11768,practica profesional,11769,analisis financiero,prerrequisito
11768,practica profesional,11769,analisis financiero,prerrequisito
11768,practica profesional,11770,fundamentos de mercadeo,prerrequisito
11768,practica profesional,11771,legislacion laboral,prerrequisito
11768,practica profesional,11771,legislacion laboral,prerrequisito
11768,practica profesional,11772,iniciativa empresarial,prerrequisito
11768,practica profesional,11772,gestion empresarial,prerrequisito
11768,practica profesional,11773,investigacion de operaciones,prerrequisito
11769,analisis financiero,11718,contabilidad comercial,prerrequisito
11769,analisis financiero,11718,contabilidad comercial,prerrequisito
11804,planeacion y control,11813,administracion basica,prerrequisito
11808,calculo diferencial,11801,matematica basica,prerrequisito
11809,contabilidad comercial,11811,contabilidad basica,prerrequisito
11813,administracion basica,11803,introduccion al programa,prerrequisito
11814,creacion de empresas,11813,administracion basica,prerrequisito
11816,macroeconomia,11810,microeconomia,prerrequisito
11818,formacion integral ii,11807,formacion integral i,prerrequisito
11823,organizacion y direccion,11804,planeacion y control,prerrequisito
11824,calculo integral,11808,calculo diferencial,prerrequisito
11827,costos,11809,contabilidad comercial,prerrequisito
11830,ingles ii,11817,ingles i,prerrequisito
11833,estadistica inferencial,11825,estadistica descriptiva,prerrequisito
11840,metodologia y practica de la investigacion,11833,estadistica inferencial,prerrequisito
11842,finanzas,11834,presupuestos,prerrequisito
11848,preparacion de proyectos,11842,finanzas,prerrequisito
11855,evaluacion de proyectos,11848,preparacion de proyectos,prerrequisito
11857,etica profesional,11829,etica general,prerrequisito
11860,trabajo o alternativa de grado,11865,seminario de investigacion,prerrequisito
11861,practica profesional,11852,modelos de simulacion gerencial,prerrequisito
11861,practica profesional,11855,evaluacion de proyectos,prerrequisito
11861,practica profesional,11856,negocios internacionales,prerrequisito
11861,practica profesional,11857,etica profesional,prerrequisito
11861,practica profesional,11858,electiva de profundizacion ii,prerrequisito
11861,practica profesional,11865,seminario de investigacion,prerrequisito
11865,seminario de investigacion,11840,metodologia y practica de la investigacion,prerrequisito
11914,macroeconomia,11910,microeconomia,prerrequisito
11916,estadistica inferencial,11919,estadistica descriptiva,prerrequisito
11918,contabilidad comercial,11911,contabilidad basica,prerrequisito
11920,economia colombiana,11914,macroeconomia,prerrequisito
11921,ingles ii,11917,ingles i,prerrequisito
11925,gestion del talento humano,11913,administracion basica,prerrequisito
11926,metodologia y practica de la investigacion,11916,estadistica inferencial,prerrequisito
11927,finanzas,11969,analisis financiero,prerrequisito
11928,economia internacional,11920,economia colombiana,prerrequisito
11930,legislacion tributaria,11924,legislacion comercial,prerrequisito
11935,finanzas internacionales,11927,finanzas,prerrequisito
11936,procesos de mercadeo,11970,fundamentos de mercadeo,prerrequisito
11938,legislacion cambiaria y aduanera,11930,legislacion tributaria,prerrequisito
11940,costos y cotizaciones internacionales,11935,finanzas internacionales,prerrequisito
11941,investigacion de mercados internacionales,11970,fundamentos de mercadeo,prerrequisito
11942,etica profesional,11923,etica general,prerrequisito
11943,ingles v,11947,ingles iv,prerrequisito
11944,importaciones,11937,exportaciones,prerrequisito
11947,ingles iv,11967,ingles iii,prerrequisito
11949,preparacion proyectos de negocios internacionales,11940,costos y cotizaciones internacionales,prerrequisito
11950,gerencia mercadeo internacional,11941,investigacion de mercados internacionales,prerrequisito
11951,logistica y distribucion internacional,11944,importaciones,prerrequisito
11952,ingles vi,11943,ingles v,prerrequisito
11956,seminario de investigacion,11934,problemas de contexto,prerrequisito
11957,evaluacion proyectos de negocios internacionales,11949,preparacion proyectos de negocios internacionales,prerrequisito
11960,contratos internacionales,11945,acuerdos y tratados,prerrequisito
11963,alternativa de grado,11956,seminario de investigacion,prerrequisito
11964,cooperacion internacional,11958,relaciones internacionales,prerrequisito
11966,formacion integral ii,11907,formacion integral i,prerrequisito
11967,ingles iii,11921,ingles ii,prerrequisito
11969,analisis financiero,11918,contabilidad comercial,prerrequisito
33101,economia politica,33117,economia basica,prerrequisito
33104,derecho civil general y personas,33109,derecho romano,prerrequisito
33114,derecho constitucional colombiano,33110,derecho constitucional general,prerrequisito
33114,derecho constitucional colombiano,33110,derecho constitucional general,prerrequisito
33118,logica juridica,33102,logica,prerrequisito
